年,罪種00,罪種01,罪種02,年齢層,検挙人員
2010,凶悪犯,殺人,殺人,14歳,3
2010,凶悪犯,殺人,嬰児殺,14歳,2
2010,凶悪犯,殺人,殺人予備,14歳,0
2010,凶悪犯,殺人,自殺関与,14歳,0
2010,凶悪犯,強盗,強盗殺人,14歳,0
2010,凶悪犯,強盗,強盗傷人,14歳,21
2010,凶悪犯,強盗,強盗強姦,14歳,0
2010,凶悪犯,強盗,強盗・準強盗,14歳,14
2010,凶悪犯,放火,,14歳,17
2010,凶悪犯,強姦,,14歳,12
2010,粗暴犯,凶器準備集合,,14歳,14
2010,粗暴犯,暴行,,14歳,350
2010,粗暴犯,傷害,傷害致死,14歳,1
2010,粗暴犯,脅迫,,14歳,41
2010,粗暴犯,恐喝,,14歳,262
2010,窃盗犯,侵入盗,,14歳,315
2010,窃盗犯,乗り物盗,,14歳,4005
2010,窃盗犯,非侵入盗,,14歳,7914
2010,知能犯,詐欺,,14歳,62
2010,知能犯,横領,横領,14歳,10
2010,知能犯,横領,業務上横領,14歳,0
2010,知能犯,偽造,通貨偽造,14歳,3
2010,知能犯,偽造,文書偽造,14歳,1
2010,知能犯,偽造,支払用カード偽造,14歳,0
2010,知能犯,偽造,有価証券偽造,14歳,0
2010,知能犯,偽造,印章偽造,14歳,0
2010,知能犯,汚職,賄賂,14歳,0
2010,知能犯,あっせん利得処罰法,,14歳,0
2010,知能犯,背任,,14歳,0
2010,風俗犯,賭博,普通賭博,14歳,0
2010,風俗犯,賭博,常習賭博,14歳,0
2010,風俗犯,賭博,賭博開張等,14歳,0
2010,風俗犯,わいせつ,強制わいせつ,14歳,61
2010,風俗犯,わいせつ,公然わいせつ,14歳,6
2010,その他の刑法犯,占有離脱物横領,,14歳,2999
2010,その他の刑法犯,公務執行妨害,,14歳,15
2010,その他の刑法犯,住居侵入,,14歳,501
2010,その他の刑法犯,逮捕監禁,,14歳,0
2010,その他の刑法犯,略取誘拐・人身売買,,14歳,1
2010,その他の刑法犯,盗品等,,14歳,350
2010,その他の刑法犯,器物損壊等,,14歳,458
2010,粗暴犯,傷害,その他,14歳,1305
2010,知能犯,汚職,その他,14歳,0
2010,風俗犯,わいせつ,その他,14歳,1
2010,その他の刑法犯,その他,,14歳,101
2010,凶悪犯,殺人,殺人,15歳,2
2010,凶悪犯,殺人,嬰児殺,15歳,0
2010,凶悪犯,殺人,殺人予備,15歳,0
2010,凶悪犯,殺人,自殺関与,15歳,0
2010,凶悪犯,強盗,強盗殺人,15歳,0
2010,凶悪犯,強盗,強盗傷人,15歳,48
2010,凶悪犯,強盗,強盗強姦,15歳,0
2010,凶悪犯,強盗,強盗・準強盗,15歳,24
2010,凶悪犯,放火,,15歳,13
2010,凶悪犯,強姦,,15歳,7
