年,罪種00,罪種01,罪種02,年齢層,検挙人員
2011,凶悪犯,殺人,殺人,14歳,5
2011,凶悪犯,殺人,嬰児殺,14歳,0
2011,凶悪犯,殺人,殺人予備,14歳,0
2011,凶悪犯,殺人,自殺関与,14歳,1
2011,凶悪犯,強盗,強盗殺人,14歳,0
2011,凶悪犯,強盗,強盗傷人,14歳,47
2011,凶悪犯,強盗,強盗強姦,14歳,0
2011,凶悪犯,強盗,強盗・準強盗,14歳,17
2011,凶悪犯,放火,,14歳,17
2011,凶悪犯,強姦,,14歳,10
2011,粗暴犯,凶器準備集合,,14歳,6
2011,粗暴犯,暴行,,14歳,305
2011,粗暴犯,傷害,傷害致死,14歳,3
2011,粗暴犯,脅迫,,14歳,29
2011,粗暴犯,恐喝,,14歳,238
2011,窃盗犯,侵入盗,,14歳,393
2011,窃盗犯,乗り物盗,,14歳,3267
2011,窃盗犯,非侵入盗,,14歳,7582
2011,知能犯,詐欺,,14歳,47
2011,知能犯,横領,横領,14歳,4
2011,知能犯,横領,業務上横領,14歳,0
2011,知能犯,偽造,通貨偽造,14歳,5
2011,知能犯,偽造,文書偽造,14歳,3
2011,知能犯,偽造,支払用カード偽造,14歳,0
2011,知能犯,偽造,有価証券偽造,14歳,2
2011,知能犯,偽造,印章偽造,14歳,0
2011,知能犯,汚職,賄賂,14歳,0
2011,知能犯,あっせん利得処罰法,,14歳,0
2011,知能犯,背任,,14歳,0
2011,風俗犯,賭博,普通賭博,14歳,0
2011,風俗犯,賭博,常習賭博,14歳,0
2011,風俗犯,賭博,賭博開張等,14歳,0
2011,風俗犯,わいせつ,強制わいせつ,14歳,64
2011,風俗犯,わいせつ,公然わいせつ,14歳,3
2011,その他の刑法犯,占有離脱物横領,,14歳,2460
2011,その他の刑法犯,公務執行妨害,,14歳,23
2011,その他の刑法犯,住居侵入,,14歳,533
2011,その他の刑法犯,逮捕監禁,,14歳,7
2011,その他の刑法犯,略取誘拐・人身売買,,14歳,1
2011,その他の刑法犯,盗品等,,14歳,281
2011,その他の刑法犯,器物損壊等,,14歳,470
2011,粗暴犯,傷害,その他,14歳,1232
2011,知能犯,汚職,その他,14歳,0
2011,風俗犯,わいせつ,その他,14歳,17
2011,その他の刑法犯,その他,,14歳,137
2011,凶悪犯,殺人,殺人,15歳,4
2011,凶悪犯,殺人,嬰児殺,15歳,0
2011,凶悪犯,殺人,殺人予備,15歳,0
2011,凶悪犯,殺人,自殺関与,15歳,1
2011,凶悪犯,強盗,強盗殺人,15歳,0
2011,凶悪犯,強盗,強盗傷人,15歳,49
2011,凶悪犯,強盗,強盗強姦,15歳,0
2011,凶悪犯,強盗,強盗・準強盗,15歳,28
2011,凶悪犯,放火,,15歳,11
2011,凶悪犯,強姦,,15歳,4
2011,粗暴犯,凶器準備集合,,15歳,3
2011,粗暴犯,暴行,,15歳,260
2011,粗暴犯,傷害,傷害致死,15歳,4
2011,粗暴犯,脅迫,,15歳,20
2011,粗暴犯,恐喝,,15歳,259
2011,窃盗犯,侵入盗,,15歳,387
2011,窃盗犯,乗り物盗,,15歳,3812
2011,窃盗犯,非侵入盗,,15歳,7789
2011,知能犯,詐欺,,15歳,111
2011,知能犯,横領,横領,15歳,10
2011,知能犯,横領,業務上横領,15歳,0
2011,知能犯,偽造,通貨偽造,15歳,3
2011,知能犯,偽造,文書偽造,15歳,6
2011,知能犯,偽造,支払用カード偽造,15歳,0
2011,知能犯,偽造,有価証券偽造,15歳,1
2011,知能犯,偽造,印章偽造,15歳,0
2011,知能犯,汚職,賄賂,15歳,0
2011,知能犯,あっせん利得処罰法,,15歳,0
2011,知能犯,背任,,15歳,0
2011,風俗犯,賭博,普通賭博,15歳,0
2011,風俗犯,賭博,常習賭博,15歳,0
2011,風俗犯,賭博,賭博開張等,15歳,0
2011,風俗犯,わいせつ,強制わいせつ,15歳,49
2011,風俗犯,わいせつ,公然わいせつ,15歳,11
2011,その他の刑法犯,占有離脱物横領,,15歳,2920
2011,その他の刑法犯,公務執行妨害,,15歳,26
2011,その他の刑法犯,住居侵入,,15歳,660
2011,その他の刑法犯,逮捕監禁,,15歳,3
2011,その他の刑法犯,略取誘拐・人身売買,,15歳,3
2011,その他の刑法犯,盗品等,,15歳,310
2011,その他の刑法犯,器物損壊等,,15歳,373
2011,粗暴犯,傷害,その他,15歳,1142
2011,知能犯,汚職,その他,15歳,0
2011,風俗犯,わいせつ,その他,15歳,18
2011,その他の刑法犯,その他,,15歳,70
2011,凶悪犯,殺人,殺人,16歳,8
2011,凶悪犯,殺人,嬰児殺,16歳,0
2011,凶悪犯,殺人,殺人予備,16歳,0
2011,凶悪犯,殺人,自殺関与,16歳,0
2011,凶悪犯,強盗,強盗殺人,16歳,0
2011,凶悪犯,強盗,強盗傷人,16歳,86
2011,凶悪犯,強盗,強盗強姦,16歳,0
2011,凶悪犯,強盗,強盗・準強盗,16歳,47
2011,凶悪犯,放火,,16歳,12
2011,凶悪犯,強姦,,16歳,10
2011,粗暴犯,凶器準備集合,,16歳,7
2011,粗暴犯,暴行,,16歳,196
2011,粗暴犯,傷害,傷害致死,16歳,1
2011,粗暴犯,脅迫,,16歳,16
2011,粗暴犯,恐喝,,16歳,283
2011,窃盗犯,侵入盗,,16歳,377
2011,窃盗犯,乗り物盗,,16歳,3400
2011,窃盗犯,非侵入盗,,16歳,7335
2011,知能犯,詐欺,,16歳,147
2011,知能犯,横領,横領,16歳,8
2011,知能犯,横領,業務上横領,16歳,0
2011,知能犯,偽造,通貨偽造,16歳,2
2011,知能犯,偽造,文書偽造,16歳,13
2011,知能犯,偽造,支払用カード偽造,16歳,0
2011,知能犯,偽造,有価証券偽造,16歳,3
2011,知能犯,偽造,印章偽造,16歳,1
2011,知能犯,汚職,賄賂,16歳,0
2011,知能犯,あっせん利得処罰法,,16歳,0
2011,知能犯,背任,,16歳,0
2011,風俗犯,賭博,普通賭博,16歳,2
2011,風俗犯,賭博,常習賭博,16歳,0
2011,風俗犯,賭博,賭博開張等,16歳,0
2011,風俗犯,わいせつ,強制わいせつ,16歳,43
2011,風俗犯,わいせつ,公然わいせつ,16歳,14
2011,その他の刑法犯,占有離脱物横領,,16歳,2992
2011,その他の刑法犯,公務執行妨害,,16歳,69
2011,その他の刑法犯,住居侵入,,16歳,549
2011,その他の刑法犯,逮捕監禁,,16歳,3
2011,その他の刑法犯,略取誘拐・人身売買,,16歳,0
2011,その他の刑法犯,盗品等,,16歳,296
2011,その他の刑法犯,器物損壊等,,16歳,224
2011,粗暴犯,傷害,その他,16歳,814
2011,知能犯,汚職,その他,16歳,0
2011,風俗犯,わいせつ,その他,16歳,17
2011,その他の刑法犯,その他,,16歳,93
2011,凶悪犯,殺人,殺人,17歳,6
2011,凶悪犯,殺人,嬰児殺,17歳,1
2011,凶悪犯,殺人,殺人予備,17歳,0
2011,凶悪犯,殺人,自殺関与,17歳,0
2011,凶悪犯,強盗,強盗殺人,17歳,0
2011,凶悪犯,強盗,強盗傷人,17歳,75
2011,凶悪犯,強盗,強盗強姦,17歳,0
2011,凶悪犯,強盗,強盗・準強盗,17歳,29
2011,凶悪犯,放火,,17歳,7
2011,凶悪犯,強姦,,17歳,13
2011,粗暴犯,凶器準備集合,,17歳,1
2011,粗暴犯,暴行,,17歳,156
2011,粗暴犯,傷害,傷害致死,17歳,2
2011,粗暴犯,脅迫,,17歳,18
2011,粗暴犯,恐喝,,17歳,177
2011,窃盗犯,侵入盗,,17歳,315
2011,窃盗犯,乗り物盗,,17歳,1846
2011,窃盗犯,非侵入盗,,17歳,4100
2011,知能犯,詐欺,,17歳,179
2011,知能犯,横領,横領,17歳,3
2011,知能犯,横領,業務上横領,17歳,0
2011,知能犯,偽造,通貨偽造,17歳,1
2011,知能犯,偽造,文書偽造,17歳,12
2011,知能犯,偽造,支払用カード偽造,17歳,0
2011,知能犯,偽造,有価証券偽造,17歳,0
2011,知能犯,偽造,印章偽造,17歳,0
2011,知能犯,汚職,賄賂,17歳,0
2011,知能犯,あっせん利得処罰法,,17歳,0
2011,知能犯,背任,,17歳,0
2011,風俗犯,賭博,普通賭博,17歳,2
2011,風俗犯,賭博,常習賭博,17歳,1
2011,風俗犯,賭博,賭博開張等,17歳,0
2011,風俗犯,わいせつ,強制わいせつ,17歳,41
2011,風俗犯,わいせつ,公然わいせつ,17歳,12
2011,その他の刑法犯,占有離脱物横領,,17歳,2153
2011,その他の刑法犯,公務執行妨害,,17歳,43
2011,その他の刑法犯,住居侵入,,17歳,345
2011,その他の刑法犯,逮捕監禁,,17歳,13
2011,その他の刑法犯,略取誘拐・人身売買,,17歳,1
2011,その他の刑法犯,盗品等,,17歳,162
2011,その他の刑法犯,器物損壊等,,17歳,116
2011,粗暴犯,傷害,その他,17歳,636
2011,知能犯,汚職,その他,17歳,0
2011,風俗犯,わいせつ,その他,17歳,15
2011,その他の刑法犯,その他,,17歳,43
2011,凶悪犯,殺人,殺人,18歳,11
2011,凶悪犯,殺人,嬰児殺,18歳,3
2011,凶悪犯,殺人,殺人予備,18歳,1
2011,凶悪犯,殺人,自殺関与,18歳,1
2011,凶悪犯,強盗,強盗殺人,18歳,0
2011,凶悪犯,強盗,強盗傷人,18歳,74
2011,凶悪犯,強盗,強盗強姦,18歳,3
2011,凶悪犯,強盗,強盗・準強盗,18歳,39
2011,凶悪犯,放火,,18歳,11
2011,凶悪犯,強姦,,18歳,15
2011,粗暴犯,凶器準備集合,,18歳,0
2011,粗暴犯,暴行,,18歳,133
2011,粗暴犯,傷害,傷害致死,18歳,1
2011,粗暴犯,脅迫,,18歳,19
2011,粗暴犯,恐喝,,18歳,146
2011,窃盗犯,侵入盗,,18歳,316
2011,窃盗犯,乗り物盗,,18歳,1179
2011,窃盗犯,非侵入盗,,18歳,2574
2011,知能犯,詐欺,,18歳,190
2011,知能犯,横領,横領,18歳,6
2011,知能犯,横領,業務上横領,18歳,2
2011,知能犯,偽造,通貨偽造,18歳,2
2011,知能犯,偽造,文書偽造,18歳,9
2011,知能犯,偽造,支払用カード偽造,18歳,0
2011,知能犯,偽造,有価証券偽造,18歳,3
2011,知能犯,偽造,印章偽造,18歳,1
2011,知能犯,汚職,賄賂,18歳,0
2011,知能犯,あっせん利得処罰法,,18歳,0
2011,知能犯,背任,,18歳,0
2011,風俗犯,賭博,普通賭博,18歳,0
2011,風俗犯,賭博,常習賭博,18歳,1
2011,風俗犯,賭博,賭博開張等,18歳,0
2011,風俗犯,わいせつ,強制わいせつ,18歳,43
2011,風俗犯,わいせつ,公然わいせつ,18歳,21
2011,その他の刑法犯,占有離脱物横領,,18歳,2032
2011,その他の刑法犯,公務執行妨害,,18歳,48
2011,その他の刑法犯,住居侵入,,18歳,234
2011,その他の刑法犯,逮捕監禁,,18歳,22
2011,その他の刑法犯,略取誘拐・人身売買,,18歳,1
2011,その他の刑法犯,盗品等,,18歳,92
2011,その他の刑法犯,器物損壊等,,18歳,87
2011,粗暴犯,傷害,その他,18歳,473
2011,知能犯,汚職,その他,18歳,0
2011,風俗犯,わいせつ,その他,18歳,16
2011,その他の刑法犯,その他,,18歳,38
2011,凶悪犯,殺人,殺人,19歳,12
2011,凶悪犯,殺人,嬰児殺,19歳,1
2011,凶悪犯,殺人,殺人予備,19歳,1
2011,凶悪犯,殺人,自殺関与,19歳,1
2011,凶悪犯,強盗,強盗殺人,19歳,0
2011,凶悪犯,強盗,強盗傷人,19歳,63
2011,凶悪犯,強盗,強盗強姦,19歳,3
2011,凶悪犯,強盗,強盗・準強盗,19歳,47
2011,凶悪犯,放火,,19歳,10
2011,凶悪犯,強姦,,19歳,20
2011,粗暴犯,凶器準備集合,,19歳,0
2011,粗暴犯,暴行,,19歳,163
2011,粗暴犯,傷害,傷害致死,19歳,3
2011,粗暴犯,脅迫,,19歳,25
2011,粗暴犯,恐喝,,19歳,122
2011,窃盗犯,侵入盗,,19歳,328
2011,窃盗犯,乗り物盗,,19歳,999
2011,窃盗犯,非侵入盗,,19歳,2000
2011,知能犯,詐欺,,19歳,225
2011,知能犯,横領,横領,19歳,4
2011,知能犯,横領,業務上横領,19歳,1
2011,知能犯,偽造,通貨偽造,19歳,1
2011,知能犯,偽造,文書偽造,19歳,10
2011,知能犯,偽造,支払用カード偽造,19歳,0
2011,知能犯,偽造,有価証券偽造,19歳,3
2011,知能犯,偽造,印章偽造,19歳,1
2011,知能犯,汚職,賄賂,19歳,0
2011,知能犯,あっせん利得処罰法,,19歳,0
2011,知能犯,背任,,19歳,0
2011,風俗犯,賭博,普通賭博,19歳,3
2011,風俗犯,賭博,常習賭博,19歳,2
2011,風俗犯,賭博,賭博開張等,19歳,0
2011,風俗犯,わいせつ,強制わいせつ,19歳,43
2011,風俗犯,わいせつ,公然わいせつ,19歳,25
2011,その他の刑法犯,占有離脱物横領,,19歳,2211
2011,その他の刑法犯,公務執行妨害,,19歳,34
2011,その他の刑法犯,住居侵入,,19歳,165
2011,その他の刑法犯,逮捕監禁,,19歳,24
2011,その他の刑法犯,略取誘拐・人身売買,,19歳,4
2011,その他の刑法犯,盗品等,,19歳,71
2011,その他の刑法犯,器物損壊等,,19歳,80
2011,粗暴犯,傷害,その他,19歳,442
2011,知能犯,汚職,その他,19歳,0
2011,風俗犯,わいせつ,その他,19歳,16
2011,その他の刑法犯,その他,,19歳,28
2011,凶悪犯,殺人,殺人,20~24歳,70
2011,凶悪犯,殺人,嬰児殺,20~24歳,4
2011,凶悪犯,殺人,殺人予備,20~24歳,1
2011,凶悪犯,殺人,自殺関与,20~24歳,2
2011,凶悪犯,強盗,強盗殺人,20~24歳,10
2011,凶悪犯,強盗,強盗傷人,20~24歳,203
2011,凶悪犯,強盗,強盗強姦,20~24歳,9
2011,凶悪犯,強盗,強盗・準強盗,20~24歳,191
2011,凶悪犯,放火,,20~24歳,49
2011,凶悪犯,強姦,,20~24歳,123
2011,粗暴犯,凶器準備集合,,20~24歳,0
2011,粗暴犯,暴行,,20~24歳,1551
2011,粗暴犯,傷害,傷害致死,20~24歳,14
2011,粗暴犯,脅迫,,20~24歳,84
2011,粗暴犯,恐喝,,20~24歳,359
2011,窃盗犯,侵入盗,,20~24歳,1593
2011,窃盗犯,乗り物盗,,20~24歳,2681
2011,窃盗犯,非侵入盗,,20~24歳,7928
2011,知能犯,詐欺,,20~24歳,1221
2011,知能犯,横領,横領,20~24歳,32
2011,知能犯,横領,業務上横領,20~24歳,24
2011,知能犯,偽造,通貨偽造,20~24歳,6
2011,知能犯,偽造,文書偽造,20~24歳,122
2011,知能犯,偽造,支払用カード偽造,20~24歳,4
2011,知能犯,偽造,有価証券偽造,20~24歳,1
2011,知能犯,偽造,印章偽造,20~24歳,0
2011,知能犯,汚職,賄賂,20~24歳,0
2011,知能犯,あっせん利得処罰法,,20~24歳,0
2011,知能犯,背任,,20~24歳,1
2011,風俗犯,賭博,普通賭博,20~24歳,40
2011,風俗犯,賭博,常習賭博,20~24歳,20
2011,風俗犯,賭博,賭博開張等,20~24歳,12
2011,風俗犯,わいせつ,強制わいせつ,20~24歳,248
2011,風俗犯,わいせつ,公然わいせつ,20~24歳,142
2011,その他の刑法犯,占有離脱物横領,,20~24歳,6710
2011,その他の刑法犯,公務執行妨害,,20~24歳,200
2011,その他の刑法犯,住居侵入,,20~24歳,504
2011,その他の刑法犯,逮捕監禁,,20~24歳,90
2011,その他の刑法犯,略取誘拐・人身売買,,20~24歳,14
2011,その他の刑法犯,盗品等,,20~24歳,238
2011,その他の刑法犯,器物損壊等,,20~24歳,460
2011,粗暴犯,傷害,その他,20~24歳,1956
2011,知能犯,汚職,その他,20~24歳,3
2011,風俗犯,わいせつ,その他,20~24歳,84
2011,その他の刑法犯,その他,,20~24歳,178
2011,凶悪犯,殺人,殺人,25~29歳,82
2011,凶悪犯,殺人,嬰児殺,25~29歳,1
2011,凶悪犯,殺人,殺人予備,25~29歳,1
2011,凶悪犯,殺人,自殺関与,25~29歳,2
2011,凶悪犯,強盗,強盗殺人,25~29歳,8
2011,凶悪犯,強盗,強盗傷人,25~29歳,135
2011,凶悪犯,強盗,強盗強姦,25~29歳,12
2011,凶悪犯,強盗,強盗・準強盗,25~29歳,125
2011,凶悪犯,放火,,25~29歳,53
2011,凶悪犯,強姦,,25~29歳,118
2011,粗暴犯,凶器準備集合,,25~29歳,0
2011,粗暴犯,暴行,,25~29歳,1936
2011,粗暴犯,傷害,傷害致死,25~29歳,17
2011,粗暴犯,脅迫,,25~29歳,109
2011,粗暴犯,恐喝,,25~29歳,238
2011,窃盗犯,侵入盗,,25~29歳,1189
2011,窃盗犯,乗り物盗,,25~29歳,1250
2011,窃盗犯,非侵入盗,,25~29歳,6659
2011,知能犯,詐欺,,25~29歳,1140
2011,知能犯,横領,横領,25~29歳,32
2011,知能犯,横領,業務上横領,25~29歳,59
2011,知能犯,偽造,通貨偽造,25~29歳,9
2011,知能犯,偽造,文書偽造,25~29歳,148
2011,知能犯,偽造,支払用カード偽造,25~29歳,3
2011,知能犯,偽造,有価証券偽造,25~29歳,3
2011,知能犯,偽造,印章偽造,25~29歳,2
2011,知能犯,汚職,賄賂,25~29歳,0
2011,知能犯,あっせん利得処罰法,,25~29歳,0
2011,知能犯,背任,,25~29歳,1
2011,風俗犯,賭博,普通賭博,25~29歳,99
2011,風俗犯,賭博,常習賭博,25~29歳,21
2011,風俗犯,賭博,賭博開張等,25~29歳,28
2011,風俗犯,わいせつ,強制わいせつ,25~29歳,312
2011,風俗犯,わいせつ,公然わいせつ,25~29歳,150
2011,その他の刑法犯,占有離脱物横領,,25~29歳,3107
2011,その他の刑法犯,公務執行妨害,,25~29歳,239
2011,その他の刑法犯,住居侵入,,25~29歳,374
2011,その他の刑法犯,逮捕監禁,,25~29歳,64
