年,正規・非正規区分,正規・非正規詳細,在留資格,罪種00,罪種01,罪種02,検挙人員
2020,正規滞在,正規滞在,短期滞在,凶悪犯,殺人,,1
2020,正規滞在,正規滞在,技能実習,凶悪犯,殺人,,30
2020,正規滞在,正規滞在,留学,凶悪犯,殺人,,2
2020,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,殺人,,2
2020,正規滞在,正規滞在,定住者,凶悪犯,殺人,,9
2020,正規滞在,正規滞在,その他,凶悪犯,殺人,,8
2020,不法滞在,不法在留,,凶悪犯,殺人,,2
2020,不法滞在,不法残留,短期滞在,凶悪犯,殺人,,1
2020,不法滞在,不法残留,技能実習,凶悪犯,殺人,,2
2020,不法滞在,不法残留,留学,凶悪犯,殺人,,2
2020,正規滞在,正規滞在,短期滞在,凶悪犯,強盗,侵入強盗,1
2020,正規滞在,正規滞在,技能実習,凶悪犯,強盗,侵入強盗,2
2020,正規滞在,正規滞在,留学,凶悪犯,強盗,侵入強盗,3
2020,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,強盗,侵入強盗,3
2020,正規滞在,正規滞在,定住者,凶悪犯,強盗,侵入強盗,2
2020,正規滞在,正規滞在,その他,凶悪犯,強盗,侵入強盗,4
2020,不法滞在,不法在留,,凶悪犯,強盗,侵入強盗,1
2020,不法滞在,不法残留,技能実習,凶悪犯,強盗,侵入強盗,2
2020,不法滞在,不法残留,その他,凶悪犯,強盗,侵入強盗,1
2020,正規滞在,正規滞在,技能実習,凶悪犯,放火,,1
2020,正規滞在,正規滞在,留学,凶悪犯,放火,,3
2020,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,放火,,1
2020,正規滞在,正規滞在,定住者,凶悪犯,放火,,1
2020,不法滞在,不法残留,短期滞在,凶悪犯,放火,,1
2020,正規滞在,正規滞在,短期滞在,凶悪犯,強制性交等,,3
2020,正規滞在,正規滞在,技能実習,凶悪犯,強制性交等,,3
2020,正規滞在,正規滞在,興行,凶悪犯,強制性交等,,1
2020,正規滞在,正規滞在,留学,凶悪犯,強制性交等,,5
2020,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,強制性交等,,4
2020,正規滞在,正規滞在,定住者,凶悪犯,強制性交等,,12
2020,正規滞在,正規滞在,その他,凶悪犯,強制性交等,,17
2020,不法滞在,不法残留,技能実習,凶悪犯,強制性交等,,1
2020,正規滞在,正規滞在,短期滞在,粗暴犯,,,45
2020,正規滞在,正規滞在,技能実習,粗暴犯,,,128
2020,正規滞在,正規滞在,留学,粗暴犯,,,141
2020,正規滞在,正規滞在,日本人の配偶者等,粗暴犯,,,229
2020,正規滞在,正規滞在,定住者,粗暴犯,,,309
2020,正規滞在,正規滞在,その他,粗暴犯,,,376
2020,不法滞在,不法入国・上陸,,粗暴犯,,,2
2020,不法滞在,不法在留,,粗暴犯,,,2
2020,不法滞在,不法残留,短期滞在,粗暴犯,,,6
2020,不法滞在,不法残留,技能実習,粗暴犯,,,1
2020,不法滞在,不法残留,留学,粗暴犯,,,7
2020,不法滞在,不法残留,研修,粗暴犯,,,2
2020,不法滞在,不法残留,その他,粗暴犯,,,4
2020,正規滞在,正規滞在,短期滞在,窃盗犯,侵入盗,,20
2020,正規滞在,正規滞在,技能実習,窃盗犯,侵入盗,,14
2020,正規滞在,正規滞在,留学,窃盗犯,侵入盗,,21
2020,正規滞在,正規滞在,日本人の配偶者等,窃盗犯,侵入盗,,9
2020,正規滞在,正規滞在,定住者,窃盗犯,侵入盗,,35
2020,正規滞在,正規滞在,その他,窃盗犯,侵入盗,,25
2020,不法滞在,不法入国・上陸,,窃盗犯,侵入盗,,1
2020,不法滞在,不法在留,,窃盗犯,侵入盗,,4
