年,正規・非正規区分,正規・非正規詳細,在留資格,罪種00,罪種01,罪種02,検挙人員
2019,正規滞在,正規滞在,短期滞在,凶悪犯,殺人,,4
2019,正規滞在,正規滞在,技能実習,凶悪犯,殺人,,11
2019,正規滞在,正規滞在,留学,凶悪犯,殺人,,8
2019,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,殺人,,1
2019,正規滞在,正規滞在,定住者,凶悪犯,殺人,,5
2019,正規滞在,正規滞在,その他,凶悪犯,殺人,,10
2019,不法滞在,不法入国・上陸,,凶悪犯,殺人,,1
2019,不法滞在,不法残留,短期滞在,凶悪犯,殺人,,3
2019,不法滞在,不法残留,技能実習,凶悪犯,殺人,,3
2019,不法滞在,不法残留,留学,凶悪犯,殺人,,2
2019,正規滞在,正規滞在,留学,凶悪犯,強盗,侵入強盗,1
2019,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,強盗,侵入強盗,1
2019,正規滞在,正規滞在,定住者,凶悪犯,強盗,侵入強盗,10
2019,不法滞在,不法在留,,凶悪犯,強盗,侵入強盗,1
2019,不法滞在,不法残留,留学,凶悪犯,強盗,侵入強盗,1
2019,正規滞在,正規滞在,短期滞在,凶悪犯,放火,,2
2019,正規滞在,正規滞在,留学,凶悪犯,放火,,1
2019,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,放火,,2
2019,正規滞在,正規滞在,短期滞在,凶悪犯,強制性交等,,2
2019,正規滞在,正規滞在,技能実習,凶悪犯,強制性交等,,4
2019,正規滞在,正規滞在,留学,凶悪犯,強制性交等,,7
2019,正規滞在,正規滞在,研修,凶悪犯,強制性交等,,1
2019,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,強制性交等,,4
2019,正規滞在,正規滞在,定住者,凶悪犯,強制性交等,,5
2019,正規滞在,正規滞在,その他,凶悪犯,強制性交等,,11
2019,正規滞在,正規滞在,短期滞在,粗暴犯,,,79
2019,正規滞在,正規滞在,技能実習,粗暴犯,,,58
2019,正規滞在,正規滞在,興行,粗暴犯,,,3
2019,正規滞在,正規滞在,留学,粗暴犯,,,166
2019,正規滞在,正規滞在,研修,粗暴犯,,,3
2019,正規滞在,正規滞在,日本人の配偶者等,粗暴犯,,,275
2019,正規滞在,正規滞在,定住者,粗暴犯,,,350
2019,正規滞在,正規滞在,その他,粗暴犯,,,379
2019,不法滞在,不法入国・上陸,,粗暴犯,,,2
2019,不法滞在,不法在留,,粗暴犯,,,4
2019,不法滞在,不法残留,短期滞在,粗暴犯,,,7
2019,不法滞在,不法残留,技能実習,粗暴犯,,,3
2019,不法滞在,不法残留,留学,粗暴犯,,,3
2019,不法滞在,不法残留,その他,粗暴犯,,,10
2019,正規滞在,正規滞在,短期滞在,窃盗犯,侵入盗,,30
2019,正規滞在,正規滞在,技能実習,窃盗犯,侵入盗,,12
2019,正規滞在,正規滞在,留学,窃盗犯,侵入盗,,9
2019,正規滞在,正規滞在,日本人の配偶者等,窃盗犯,侵入盗,,11
2019,正規滞在,正規滞在,定住者,窃盗犯,侵入盗,,39
2019,正規滞在,正規滞在,その他,窃盗犯,侵入盗,,17
2019,不法滞在,不法在留,,窃盗犯,侵入盗,,1
2019,不法滞在,不法残留,短期滞在,窃盗犯,侵入盗,,3
2019,不法滞在,不法残留,技能実習,窃盗犯,侵入盗,,3
2019,不法滞在,不法残留,留学,窃盗犯,侵入盗,,5
2019,不法滞在,不法残留,研修,窃盗犯,侵入盗,,2
2019,不法滞在,不法残留,その他,窃盗犯,侵入盗,,4
2019,正規滞在,正規滞在,短期滞在,知能犯,,,96
2019,正規滞在,正規滞在,技能実習,知能犯,,,26
2019,正規滞在,正規滞在,留学,知能犯,,,99
2019,正規滞在,正規滞在,日本人の配偶者等,知能犯,,,67
2019,正規滞在,正規滞在,定住者,知能犯,,,48
2019,正規滞在,正規滞在,その他,知能犯,,,80
2019,不法滞在,不法入国・上陸,,知能犯,,,1
2019,不法滞在,不法在留,,知能犯,,,4
2019,不法滞在,不法残留,短期滞在,知能犯,,,4
2019,不法滞在,不法残留,技能実習,知能犯,,,12
2019,不法滞在,不法残留,留学,知能犯,,,8
2019,不法滞在,不法残留,研修,知能犯,,,1
2019,不法滞在,不法残留,その他,知能犯,,,11
2019,正規滞在,正規滞在,短期滞在,風俗犯,,,9
2019,正規滞在,正規滞在,技能実習,風俗犯,,,6
2019,正規滞在,正規滞在,留学,風俗犯,,,27
2019,正規滞在,正規滞在,日本人の配偶者等,風俗犯,,,21
