年,正規・非正規区分,正規・非正規詳細,在留資格,罪種00,罪種01,罪種02,検挙人員
2021,正規滞在,正規滞在,短期滞在,凶悪犯,殺人,,3.0
2021,正規滞在,正規滞在,技能実習,凶悪犯,殺人,,24.0
2021,正規滞在,正規滞在,留学,凶悪犯,殺人,,3.0
2021,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,殺人,,3.0
2021,正規滞在,正規滞在,定住者,凶悪犯,殺人,,7.0
2021,正規滞在,正規滞在,その他,凶悪犯,殺人,,14.0
2021,不法滞在,不法残留,短期滞在,凶悪犯,殺人,,3.0
2021,不法滞在,不法残留,技能実習,凶悪犯,殺人,,8.0
2021,不法滞在,不法残留,留学,凶悪犯,殺人,,1.0
2021,不法滞在,不法残留,その他,凶悪犯,殺人,,3.0
2021,正規滞在,正規滞在,技能実習,凶悪犯,強盗,侵入強盗,3.0
2021,正規滞在,正規滞在,留学,凶悪犯,強盗,侵入強盗,8.0
2021,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,強盗,侵入強盗,1.0
2021,正規滞在,正規滞在,定住者,凶悪犯,強盗,侵入強盗,7.0
2021,正規滞在,正規滞在,その他,凶悪犯,強盗,侵入強盗,12.0
2021,不法滞在,不法残留,技能実習,凶悪犯,強盗,侵入強盗,1.0
2021,不法滞在,不法残留,留学,凶悪犯,強盗,侵入強盗,1.0
2021,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,放火,,5.0
2021,正規滞在,正規滞在,定住者,凶悪犯,放火,,4.0
2021,正規滞在,正規滞在,その他,凶悪犯,放火,,3.0
2021,正規滞在,正規滞在,技能実習,凶悪犯,強制性交等,,6.0
2021,正規滞在,正規滞在,興行,凶悪犯,強制性交等,,2.0
2021,正規滞在,正規滞在,留学,凶悪犯,強制性交等,,6.0
2021,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,強制性交等,,6.0
2021,正規滞在,正規滞在,定住者,凶悪犯,強制性交等,,18.0
2021,正規滞在,正規滞在,その他,凶悪犯,強制性交等,,16.0
2021,不法滞在,不法残留,短期滞在,凶悪犯,強制性交等,,1.0
2021,不法滞在,不法残留,その他,凶悪犯,強制性交等,,1.0
2021,正規滞在,正規滞在,短期滞在,粗暴犯,,,33.0
2021,正規滞在,正規滞在,技能実習,粗暴犯,,,145.0
2021,正規滞在,正規滞在,興行,粗暴犯,,,4.0
2021,正規滞在,正規滞在,留学,粗暴犯,,,132.0
2021,正規滞在,正規滞在,研修,粗暴犯,,,1.0
2021,正規滞在,正規滞在,日本人の配偶者等,粗暴犯,,,242.0
2021,正規滞在,正規滞在,定住者,粗暴犯,,,319.0
2021,正規滞在,正規滞在,その他,粗暴犯,,,430.0
2021,不法滞在,不法入国・上陸,,粗暴犯,,,1.0
2021,不法滞在,不法在留,,粗暴犯,,,3.0
2021,不法滞在,不法残留,短期滞在,粗暴犯,,,6.0
2021,不法滞在,不法残留,技能実習,粗暴犯,,,5.0
2021,不法滞在,不法残留,留学,粗暴犯,,,4.0
2021,不法滞在,不法残留,その他,粗暴犯,,,18.0
2021,正規滞在,正規滞在,短期滞在,窃盗犯,侵入盗,,7.0
2021,正規滞在,正規滞在,技能実習,窃盗犯,侵入盗,,21.0
2021,正規滞在,正規滞在,留学,窃盗犯,侵入盗,,12.0
2021,正規滞在,正規滞在,日本人の配偶者等,窃盗犯,侵入盗,,8.0
2021,正規滞在,正規滞在,定住者,窃盗犯,侵入盗,,40.0
2021,正規滞在,正規滞在,その他,窃盗犯,侵入盗,,35.0
2021,不法滞在,不法入国・上陸,,窃盗犯,侵入盗,,2.0
2021,不法滞在,不法在留,,窃盗犯,侵入盗,,2.0
2021,不法滞在,不法残留,短期滞在,窃盗犯,侵入盗,,3.0
2021,不法滞在,不法残留,技能実習,窃盗犯,侵入盗,,20.0
2021,不法滞在,不法残留,留学,窃盗犯,侵入盗,,10.0
2021,不法滞在,不法残留,その他,窃盗犯,侵入盗,,6.0
2021,正規滞在,正規滞在,短期滞在,知能犯,,,19.0
2021,正規滞在,正規滞在,技能実習,知能犯,,,50.0
2021,正規滞在,正規滞在,留学,知能犯,,,68.0
2021,正規滞在,正規滞在,日本人の配偶者等,知能犯,,,58.0
2021,正規滞在,正規滞在,定住者,知能犯,,,68.0
2021,正規滞在,正規滞在,その他,知能犯,,,142.0
2021,不法滞在,不法入国・上陸,,知能犯,,,1.0
2021,不法滞在,不法在留,,知能犯,,,6.0
2021,不法滞在,不法残留,短期滞在,知能犯,,,6.0
2021,不法滞在,不法残留,技能実習,知能犯,,,13.0
2021,不法滞在,不法残留,留学,知能犯,,,11.0
2021,不法滞在,不法残留,その他,知能犯,,,6.0
2021,正規滞在,正規滞在,短期滞在,風俗犯,,,9.0
2021,正規滞在,正規滞在,技能実習,風俗犯,,,16.0
2021,正規滞在,正規滞在,留学,風俗犯,,,23.0
2021,正規滞在,正規滞在,日本人の配偶者等,風俗犯,,,24.0
2021,正規滞在,正規滞在,定住者,風俗犯,,,32.0
2021,正規滞在,正規滞在,その他,風俗犯,,,81.0
2021,不法滞在,不法残留,短期滞在,風俗犯,,,1.0
2021,不法滞在,不法残留,技能実習,風俗犯,,,3.0
2021,不法滞在,不法残留,興行,風俗犯,,,1.0
2021,不法滞在,不法残留,留学,風俗犯,,,3.0
2021,不法滞在,不法残留,その他,風俗犯,,,1.0
2021,正規滞在,正規滞在,短期滞在,その他の刑法犯,,,41.0
2021,正規滞在,正規滞在,技能実習,その他の刑法犯,,,186.0
2021,正規滞在,正規滞在,興行,その他の刑法犯,,,1.0
2021,正規滞在,正規滞在,留学,その他の刑法犯,,,202.0
2021,正規滞在,正規滞在,研修,その他の刑法犯,,,5.0
2021,正規滞在,正規滞在,日本人の配偶者等,その他の刑法犯,,,62.0
2021,正規滞在,正規滞在,定住者,その他の刑法犯,,,125.0
2021,正規滞在,正規滞在,その他,その他の刑法犯,,,357.0
2021,不法滞在,不法在留,,その他の刑法犯,,,3.0
2021,不法滞在,不法残留,短期滞在,その他の刑法犯,,,14.0
2021,不法滞在,不法残留,技能実習,その他の刑法犯,,,47.0
2021,不法滞在,不法残留,留学,その他の刑法犯,,,9.0
2021,不法滞在,不法残留,その他,その他の刑法犯,,,19.0
2021,正規滞在,正規滞在,短期滞在,凶悪犯,強盗,その他,2.0
2021,正規滞在,正規滞在,技能実習,凶悪犯,強盗,その他,4.0
2021,正規滞在,正規滞在,留学,凶悪犯,強盗,その他,4.0
2021,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,強盗,その他,4.0
2021,正規滞在,正規滞在,定住者,凶悪犯,強盗,その他,10.0
2021,正規滞在,正規滞在,その他,凶悪犯,強盗,その他,17.0
2021,不法滞在,不法在留,,凶悪犯,強盗,その他,1.0
2021,不法滞在,不法残留,短期滞在,凶悪犯,強盗,その他,4.0
2021,不法滞在,不法残留,技能実習,凶悪犯,強盗,その他,1.0
2021,不法滞在,不法残留,留学,凶悪犯,強盗,その他,7.0
2021,正規滞在,正規滞在,短期滞在,窃盗犯,その他,,53.0
2021,正規滞在,正規滞在,技能実習,窃盗犯,その他,,432.0
2021,正規滞在,正規滞在,興行,窃盗犯,その他,,1.0
2021,正規滞在,正規滞在,留学,窃盗犯,その他,,267.0
2021,正規滞在,正規滞在,研修,窃盗犯,その他,,1.0
2021,正規滞在,正規滞在,日本人の配偶者等,窃盗犯,その他,,190.0
2021,正規滞在,正規滞在,定住者,窃盗犯,その他,,327.0
2021,正規滞在,正規滞在,その他,窃盗犯,その他,,616.0
2021,不法滞在,不法入国・上陸,,窃盗犯,その他,,1.0
2021,不法滞在,不法在留,,窃盗犯,その他,,24.0
2021,不法滞在,不法残留,短期滞在,窃盗犯,その他,,18.0
2021,不法滞在,不法残留,技能実習,窃盗犯,その他,,119.0
2021,不法滞在,不法残留,興行,窃盗犯,その他,,2.0
2021,不法滞在,不法残留,留学,窃盗犯,その他,,36.0
2021,不法滞在,不法残留,研修,窃盗犯,その他,,2.0
2021,不法滞在,不法残留,その他,窃盗犯,その他,,38.0
